,order,family,genus,species.epithet,stem.length.m,VD.base.um,VD.tip.um,min.length.leaf,max.length.leaf,min.length.petiole,max.length.petiole,min.length.blade,max.length.blade,leaf.type,length.leaf.cm,species,long.hoja,long.hoja.mean,long.lam.pet.mean,Nota
465,Ranunculales,Berberidaceae,Berberis,microphylla,0.79,18.38,7.8,NA,NA,0.2,0.8,2,6,simple,NA,Berberis_microphylla,NA,NA,4.5,
466,Ranunculales,Berberidaceae,Berberis,serratodentata,0.82,17.2,8.68,NA,NA,0.6,0.7,2.3,9.3,simple,NA,Berberis_serratodentata,NA,NA,6.45,
467,Ranunculales,Berberidaceae,Nandina,domestica,0.62,13.75,9.11,30,50,0.97,2.01,NA,NA,compound,NA,Nandina_domestica,NA,40,NA,
468,Ranunculales,Menispermaceae,Hyperbaena,ilicifolia,3.48,88.24,20.54,NA,NA,NA,NA,NA,NA,simple,9,Hyperbaena_ilicifolia,9,NA,NA,
469,Ranunculales,Menispermaceae,Stephania,japonica,6.23,105.08,31.23,NA,NA,3,12,5,12,simple,NA,Stephania_japonica,NA,NA,16,
470,Ranunculales,Papaveraceae,Bocconia,arborea,8.22,148.79,27.83,15,25,0.94,1.92,NA,NA,simple,NA,Bocconia_arborea,NA,20,NA,
471,Ranunculales,Ranunculaceae,Clematis,glycinoides,8.86,70.2,34.26,NA,NA,2,8,2.5,13,compound,NA,Clematis_glycinoides,NA,NA,12.75,
472,Ranunculales,Ranunculaceae,Clematis,vitalba,4.17,73.77,15.8,NA,NA,1.07,5.26,9,13.2,compound,NA,Clematis_vitalba,NA,NA,14.265,
473,Rosales,Moraceae,Ficus,insipida,21,218.76,44.32,10,25,3,8,NA,NA,simple,NA,Ficus_insipida,NA,17.5,NA,
474,Rosales,Moraceae,Pseudolmedia,glabrata,17,109.67,31.44,6,22,NA,NA,NA,NA,simple,NA,Pseudolmedia_glabrata,NA,14,NA,
475,Rosales,Rhamnaceae,Alphitonia,neocaledonica,5.37,76.43,12.14,NA,NA,1,3,NA,NA,simple,9.94,Alphitonia_neocaledonica,9.94,NA,NA,
476,Rosales,Rhamnaceae,Ceanothus,cordulatus,2.08,19,8.86,NA,NA,0.2,0.8,1,3,simple,NA,Ceanothus_cordulatus,NA,NA,2.5,
477,Rosales,Rhamnaceae,Ceanothus,cuneatus,4.37,29.11,7.92,NA,NA,0.1,0.3,0.4,2.2,simple,NA,Ceanothus_cuneatus,NA,NA,1.5,
478,Rosales,Rhamnaceae,Ceanothus,leucodermis,1.42,24.9,10.92,NA,NA,0.3,0.7,0.5,3,simple,NA,Ceanothus_leucodermis,NA,NA,2.25,
479,Rosales,Rhamnaceae,Ceanothus,spinosus,7.08,32.27,10.45,NA,NA,0.4,0.7,1.1,3.5,simple,NA,Ceanothus_spinosus,NA,NA,2.85,
480,Rosales,Rhamnaceae,Colubrina,viridis,3.38,42.68,9.23,NA,NA,0.1,1.6,0.6,4.2,simple,NA,Colubrina_viridis,NA,NA,3.25,
481,Rosales,Rhamnaceae,Frangula,californica,2.06,30.89,10.51,NA,NA,0.3,1,NA,NA,simple,5.72,Frangula_californica,5.72,NA,NA,
482,Rosales,Rhamnaceae,Ochetophila,nana,1.65,32.9,8.01,NA,NA,NA,NA,NA,NA,simple,0.76,Ochetophila_nana,0.76,NA,NA,
483,Rosales,Rhamnaceae,Pomaderris,ledifolia,2.9,40.04,12.43,NA,NA,0.1,0.25,0.2,1,simple,NA,Pomaderris_ledifolia,NA,NA,0.775,
484,Rosales,Rhamnaceae,Rhamnus,alpina,2.49,30.17,11.28,NA,NA,1,1.5,2,13,simple,NA,Rhamnus_alpina,NA,NA,8.75,
485,Rosales,Rhamnaceae,Ziziphus,joazeiro,9.7,84.44,14.06,5,10,0,0.7,NA,NA,simple,NA,Ziziphus_joazeiro,NA,7.5,NA,
486,Rosales,Rhamnaceae,Ziziphus,parryi,3.41,51.75,14.77,NA,NA,0.1,0.3,NA,NA,simple,1.94,Ziziphus_parryi,1.94,NA,NA,
487,Rosales,Rosaceae,Adenostoma,fasciculatum,2.34,19.74,8.45,0.3,1,NA,NA,NA,NA,simple,NA,Adenostoma_fasciculatum,NA,0.65,NA,
488,Rosales,Rosaceae,Amelanchier,ovalis,1.31,21.15,10.9,NA,NA,0.5,1.6,1.3,4.6,simple,NA,Amelanchier_ovalis,NA,NA,4,
489,Rosales,Rosaceae,Cercocarpus,montanus_var_glaber,2.62,29.22,10.31,NA,NA,0.19,0.9,1.2,5,simple,NA,Cercocarpus_montanus_var_glaber,NA,NA,3.645,
490,Rosales,Rosaceae,Crataegus,monogyna,5.1,28.65,8.91,NA,NA,0.1,3,1,3,simple,NA,Crataegus_monogyna,NA,NA,3.55,
491,Rosales,Rosaceae,Heteromeles,arbutifolia,5.36,28.22,11.47,NA,NA,1,2,NA,NA,simple,10.01,Heteromeles_arbutifolia,10.01,NA,NA,
492,Rosales,Rosaceae,Holodiscus,dumosus,1.9,25.48,10.7,1,4,0,0.6,NA,NA,simple,NA,Holodiscus_dumosus,NA,2.5,NA,
493,Rosales,Rosaceae,Polylepis,besseri,5.3,54.08,12.82,1.8,7.9,1.31,1.95,NA,NA,compound,NA,Polylepis_besseri,NA,4.85,NA,
494,Rosales,Rosaceae,Polylepis,tarapacana,3.79,32.81,5.21,1.9,2.4,0.6,1.33,NA,NA,compound,NA,Polylepis_tarapacana,NA,2.15,NA,
