"","order","family","genus","species.epithet","stem.length.m","VD.base.um","VD.tip.um","min.length.leaf","max.length.leaf","min.length.petiole","max.length.petiole","min.length.blade","max.length.blade","min.width.blade","max.width.blade","leaf.type","length.leaf.cm","width.leaf.cm","species","long.hoja","long.hoja.mean","long.lam.pet.mean"
"165","Dipsacales","Caprifoliaceae","Symphoricarpos","rotundifolius",0.49,20.75,11.71,1.2,2.2,NA,NA,NA,NA,0.6,2,"simple",NA,NA,"Symphoricarpos_rotundifolius",2,1.7,NA
"166","Dipsacales","Cornaceae","Cornus","alternifolia",4.57,46.67,12.98,5.08,12.7,NA,NA,NA,NA,2.54,6.35,"simple",NA,NA,"Cornus_alternifolia",6.35,8.89,NA
"167","Ericales","Actinidiaceae","Actinidia","deliciosa",11.6,196.43,39.64,14.48,14.86,NA,NA,NA,NA,7.17,10.29,"simple",NA,NA,"Actinidia_deliciosa",10.29,14.67,NA
"168","Ericales","Actinidiaceae","Saurauia","scabrida",8.07,108.47,38.51,10,30,NA,NA,NA,NA,6,15,"simple",NA,NA,"Saurauia_scabrida",15,20,NA
"169","Ericales","Clethraceae","Clethra","alnifolia",2.78,36.35,12.32,NA,NA,2.5,3.5,5,9,2,4,"simple",NA,NA,"Clethra_alnifolia",4,NA,10
"170","Ericales","Ebenaceae","Diospyros","intricata",2.22,33.81,8.36,0.7,1,NA,NA,NA,NA,0.2,0.4,"simple",NA,NA,"Diospyros_intricata",0.4,0.85,NA
"171","Ericales","Ericaceae","Arctostaphylos","glandulosa",2.14,22.79,9.58,NA,NA,0.5,1,2,4.5,1.5,4,"simple",NA,NA,"Arctostaphylos_glandulosa",4,NA,4
"172","Ericales","Ericaceae","Arctostaphylos","patula",1.38,22.28,9.42,NA,NA,0.7,1.5,2.5,6,1.5,4,"simple",NA,NA,"Arctostaphylos_patula",4,NA,5.35
"173","Ericales","Ericaceae","Arctostaphylos","peninsularis",1.47,25.7,9.62,2,3.2,NA,NA,NA,NA,0.8,1.3,"simple",NA,NA,"Arctostaphylos_peninsularis",1.3,2.6,NA
"174","Ericales","Ericaceae","Arctostaphylos","pringlei",1.72,21.36,9.36,3.5,4.6,NA,NA,NA,NA,1.5,2,"simple",NA,NA,"Arctostaphylos_pringlei",2,4.05,NA
"175","Ericales","Ericaceae","Arctostaphylos","uva_ursi",1.05,24.5,9.04,1.27,3.175,NA,NA,NA,NA,0.635,1.27,"simple",NA,NA,"Arctostaphylos_uva_ursi",1.27,2.2225,NA
"176","Ericales","Ericaceae","Calluna","vulgaris",0.69,21.42,12.43,0.127,0.35,NA,NA,NA,NA,0.05,0.07,"simple",NA,NA,"Calluna_vulgaris",0.07,0.2385,NA
"177","Ericales","Ericaceae","Cyathodes","straminea",0.53,25.19,9.87,0.6,1.1,NA,NA,NA,NA,0.2,0.3,"simple",NA,NA,"Cyathodes_straminea",0.3,0.85,NA
"178","Ericales","Ericaceae","Daboecia","cantabrica",0.7,16.9,8.85,0.635,1.5875,NA,NA,NA,NA,0.254,0.635,"simple",NA,NA,"Daboecia_cantabrica",0.635,1.11125,NA
"179","Ericales","Ericaceae","Disterigma","alaternoides",0.74,21.97,10.84,0.9,3.1,NA,NA,NA,NA,0.5,1.3,"simple",NA,NA,"Disterigma_alaternoides",1.3,2,NA
"180","Ericales","Ericaceae","Dracophyllum","ramosum",3.35,65.76,9.4,4.2,9,NA,NA,NA,NA,0.4,0.8,"simple",NA,NA,"Dracophyllum_ramosum",0.8,6.6,NA
"181","Ericales","Ericaceae","Dracophyllum","verticillatum",3.33,31.98,37.11,34.1,37.7,NA,NA,NA,NA,2.4,3.5,"simple",NA,NA,"Dracophyllum_verticillatum",3.5,35.9,NA
"182","Ericales","Ericaceae","Erica","cinerea",1,19.19,9.9,NA,NA,0.01,0.03,0.25,0.5,0.03,0.06,"simple",NA,NA,"Erica_cinerea",0.06,NA,0.395
"183","Ericales","Ericaceae","Erica","vagans",0.95,25.13,14.23,NA,NA,0.05,0.1,0.45,0.6,NA,NA,"simple",NA,0.1,"Erica_vagans",NA,NA,0.6
"184","Ericales","Ericaceae","Gaultheria","aff_glomerata",0.58,18.29,10.82,2,5.5,2.5,4,NA,NA,1.5,3,"simple",NA,NA,"Gaultheria_aff_glomerata",3,3.75,NA
"185","Ericales","Ericaceae","Gaultheria","foliolosa",2.93,34.82,11.12,0.6,1,NA,NA,NA,NA,0.6,0.8,"simple",NA,NA,"Gaultheria_foliolosa",0.8,0.8,NA
"186","Ericales","Ericaceae","Gaultheria","hispida",0.77,25.14,12.91,2.54,5.715,NA,NA,NA,NA,0.635,1.905,"simple",NA,NA,"Gaultheria_hispida",1.905,4.1275,NA
"187","Ericales","Ericaceae","Gaultheria","mucronata",0.69,25.46,9.87,1,1.8,NA,NA,NA,NA,0.3,0.9,"simple",NA,NA,"Gaultheria_mucronata",0.9,1.4,NA
"188","Ericales","Ericaceae","Gaultheria","reticulata",1.18,21.77,9.47,2.2,5.2,NA,NA,NA,NA,1,2.2,"simple",NA,NA,"Gaultheria_reticulata",2.2,3.7,NA
"189","Ericales","Ericaceae","Kalmia","latifolia",2.82,30.14,11.85,5.08,12.7,NA,NA,NA,NA,1.905,3.81,"simple",NA,NA,"Kalmia_latifolia",3.81,8.89,NA
"190","Ericales","Ericaceae","Leptecophylla","juniperina",0.58,21.55,6.49,0.42,1.8,NA,NA,NA,NA,1.1,2.5,"simple",NA,NA,"Leptecophylla_juniperina",2.5,1.11,NA
"191","Ericales","Ericaceae","Lyonia","ligustrina",2.3,26.79,12.26,2.3,5,NA,NA,NA,NA,1,2.2,"simple",NA,NA,"Lyonia_ligustrina",2.2,3.65,NA
"192","Ericales","Ericaceae","Rhododendron","ferrugineum",0.66,17.27,10.44,2.1,4.1,NA,NA,NA,NA,0.7,0.9,"simple",NA,NA,"Rhododendron_ferrugineum",0.9,3.1,NA
"193","Ericales","Ericaceae","Richea","pandanifolia",2.07,30.89,5.83,91.9,93.5,NA,NA,NA,NA,3.2,3.5,"simple",NA,NA,"Richea_pandanifolia",3.5,92.7,NA
"194","Ericales","Ericaceae","Richea","scoparia",1.2,22.54,8.19,1.905,5.08,NA,NA,NA,NA,0.254,0.508,"simple",NA,NA,"Richea_scoparia",0.508,3.4925,NA
"195","Ericales","Ericaceae","Richea","sprengelioides",0.62,17.82,8.53,0.7,1.6,NA,NA,NA,NA,0.2,0.3,"simple",NA,NA,"Richea_sprengelioides",0.3,1.15,NA
"196","Ericales","Ericaceae","Styphelia","cymbulae",5.42,54,11.76,1.9,8.3,NA,NA,NA,NA,1.4,2.6,"simple",NA,NA,"Styphelia_cymbulae",2.6,5.1,NA
"197","Ericales","Ericaceae","Trochocarpa","cunninghamii",0.77,24.85,6.37,1.1,1.4,NA,NA,1.1,1.4,0.31,0.56,"simple",NA,NA,"Trochocarpa_cunninghamii",0.56,1.25,NA
"198","Ericales","Ericaceae","Trochocarpa","laurina",4.69,35.69,9.78,4.1,8.3,NA,NA,NA,NA,1.4,2.6,"simple",NA,NA,"Trochocarpa_laurina",2.6,6.2,NA
"199","Ericales","Ericaceae","Vaccinium","corymbosum",2.77,31.64,9.89,2.54,8.89,NA,NA,NA,NA,1.5,4,"simple",NA,NA,"Vaccinium_corymbosum",4,5.715,NA
"200","Ericales","Ericaceae","Vaccinium","myrtillus",0.65,18.52,9.56,1,3,0,0.1,NA,NA,0.6,1.6,"simple",NA,NA,"Vaccinium_myrtillus",1.6,2,NA
"201","Ericales","Fouquieriaceae","Fouquieria","diguetii",4.94,73.94,13.28,NA,NA,NA,NA,NA,NA,NA,NA,"simple",NA,NA,"Fouquieria_diguetii",NA,NA,NA
"202","Ericales","Primulaceae","Bonellia","macrocarpa_subsp_pungens",9.3,65.2,8.84,3.5,9.5,0.1,0.3,NA,NA,1,3.5,"simple",NA,NA,"Bonellia_macrocarpa_subsp_pungens",3.5,6.5,NA
"203","Ericales","Primulaceae","Myrsine","guianensis",3.31,66.2,17.8,4.8,8.8,NA,NA,NA,NA,1.7,3.7,"simple",NA,NA,"Myrsine_guianensis",3.7,6.8,NA
"205","Ericales","Sapotaceae","Pouteria","campechiana",21.92,97.91,14.66,7.1,33.3,0.6,3.3,6.5,30,2,8,"simple",NA,NA,"Pouteria_campechiana",8,20.2,20.2
"206","Ericales","Sapotaceae","Sideroxylon","obtusifolium",8.72,58.42,10.13,3.5,6.3,NA,NA,NA,NA,1.5,2.5,"simple",NA,NA,"Sideroxylon_obtusifolium",2.5,4.9,NA
"207","Ericales","Styracaceae","Styrax","argenteus",19,99.45,33.13,7.5,20.5,1,2.5,6.5,18,4,7.5,"simple",NA,NA,"Styrax_argenteus",7.5,14,14
"208","Ericales","Symplocaceae","Symplocos","celastrifolia",7.27,68.07,17.03,0.5,NA,NA,0.5,NA,NA,3.8,4.4,"simple",8.9,NA,"Symplocos_celastrifolia",4.4,NA,NA
"209","Ericales","Symplocaceae","Symplocos","cf_reflexa",0.74,47.82,24.03,5.1,7.1,0.27,0.38,4.8,6.7,2.2,3.4,"simple",NA,NA,"Symplocos_cf_reflexa",3.4,6.1,6.075
"210","Escalloniales","Escalloniaceae","Anopterus","glandulosus",3.98,35.37,18.02,7.9,22,0.52,2.1,7.4,19.9,1.7,3.3,"simple",NA,NA,"Anopterus_glandulosus",3.3,14.95,14.96
"211","Escalloniales","Escalloniaceae","Escallonia","rubra",0.93,22.79,8.72,1.8,4.5,0.14,0.46,1.7,4,0.9,1.6,"simple",NA,NA,"Escallonia_rubra",1.6,3.15,3.15
"212","Escalloniales","Escalloniaceae","Escallonia","virgata",2.15,27.24,6.99,0.6,1.7,NA,NA,NA,NA,0.15,0.5,"simple",NA,NA,"Escallonia_virgata",0.5,1.15,NA
"213","Escalloniales","Escalloniaceae","Polyosma","rhytophloia",7.99,61.09,20.09,9.9,16.1,0.9,2.1,9,14,2.5,4,"simple",NA,NA,"Polyosma_rhytophloia",4,13,13
"214","Fabales","Fabaceae","Acacia","binervia",8.93,89.8,19.53,6,15,NA,NA,NA,NA,0.5,2.3,"compound",NA,NA,"Acacia_binervia",2.3,10.5,NA
"215","Fabales","Fabaceae","Acacia","farnesiana",5.05,66.95,8.18,1.8,5.7,0.3,0.9,1.5,4.8,1.6,3.9,"compound",NA,NA,"Acacia_farnesiana",3.9,3.75,3.75
"216","Fabales","Fabaceae","Acacia","grasbyi",4.09,44.86,14.06,3,10,NA,NA,NA,NA,0.1,0.15,"compound",NA,NA,"Acacia_grasbyi",0.15,6.5,NA
"217","Fabales","Fabaceae","Acacia","greggii",2.63,52.07,15.05,2.5,7.6,0.3,0.7,NA,NA,1.1,2.5,"compound",NA,NA,"Acacia_greggii",2.5,5.05,NA
"218","Fabales","Fabaceae","Acacia","latescens",6.8,82.83,22.32,8,26,NA,NA,NA,NA,0.5,1.5,"compound",NA,NA,"Acacia_latescens",1.5,17,NA
"219","Fabales","Fabaceae","Acacia","spirorbis",6.07,81.55,15.12,9,17,NA,NA,NA,NA,0.6,1.6,"compound",NA,NA,"Acacia_spirorbis",1.6,13,NA
"220","Fabales","Fabaceae","Amburana","cearensis",6.67,74.83,16.67,8,25,2,3,6,22,4.3,6.6,"compound",NA,NA,"Amburana_cearensis",6.6,16.5,16.5
"221","Fabales","Fabaceae","Anadenanthera","colubrina",7.55,60.5,13.19,10,26,1.1,3.5,5.9,22.5,6,12,"compound",NA,NA,"Anadenanthera_colubrina",12,18,16.5
"222","Fabales","Fabaceae","Arthroclianthus","grandifolius",6.15,73.07,15.98,13.7,17.6,1.7,2.6,12,15,6.2,8,"compound",NA,NA,"Arthroclianthus_grandifolius",8,15.65,15.65
"223","Fabales","Fabaceae","Astragalus","circumdatus",0.13,11.75,5.92,2.7,5.6,1.1,1.8,1.6,3.8,0.6,1.1,"compound",NA,NA,"Astragalus_circumdatus",1.1,4.15,4.15
"224","Fabales","Fabaceae","Bauhinia","cheilantha",4.96,34.55,12.18,3.4,12.7,0.65,2.4,2.8,10.3,3.1,10,"simple",NA,NA,"Bauhinia_cheilantha",10,8.05,8.075
"225","Fabales","Fabaceae","Bauhinia","rufa",4.22,55.53,10.74,6.3,15.1,0.8,2.4,5.5,12.7,5.7,9.4,"simple",NA,NA,"Bauhinia_rufa",9.4,10.7,10.7
"226","Fabales","Fabaceae","Caesalpinia","gardneriana",6.23,49.1,14.26,7.6,14.3,1.7,2.7,5.9,11.6,7.9,15,"compound",NA,NA,"Caesalpinia_gardneriana",15,10.95,10.95
"227","Fabales","Fabaceae","Cercidium","peninsulare",7.74,60.37,10.41,1.2,2.9,0.25,0.8,1.4,2.1,0.9,1.5,"compound",NA,NA,"Cercidium_peninsulare",1.5,2.05,2.275
"228","Fabales","Fabaceae","Chamaecrista","zygophylloides",2.87,33.71,10.62,2,6.5,1.7,3.8,NA,NA,NA,NA,"compound",NA,NA,"Chamaecrista_zygophylloides",NA,4.25,NA
"229","Fabales","Fabaceae","Chloroleucon","foliolosum",5.68,59.97,14.56,4.7,10.2,0.5,2.2,4.2,8,3.8,7.6,"compound",NA,NA,"Chloroleucon_foliolosum",7.6,7.45,7.45
"230","Fabales","Fabaceae","Cynometra","oaxacana",9.71,74.35,24.67,3.9,6.4,0.4,0.4,3.5,6,2.7,3.7,"simple",NA,NA,"Cynometra_oaxacana",3.7,5.15,5.15
"231","Fabales","Fabaceae","Cytisus","scoparius",3.17,43.27,10.91,0.7,1.8,0.2,0.8,0.5,1,0.5,1.2,"compound",NA,NA,"Cytisus_scoparius",1.2,1.25,1.25
"232","Fabales","Fabaceae","Dussia","mexicana",30,232.91,52.56,33.1,64.4,9.1,20.5,24,43.9,18.1,44.4,"compound",NA,NA,"Dussia_mexicana",44.4,48.75,48.75
"233","Fabales","Fabaceae","Ebenopsis","confinis",0.7,39.72,11.51,2.1,3.5,0.5,1.3,1.6,2.2,1.3,2.4,"compound",NA,NA,"Ebenopsis_confinis",2.4,2.8,2.8
"234","Fabales","Fabaceae","Entada","phaseoloides",55,250.26,46.64,10.5,20.4,2,7.4,8.5,13,5.9,10.2,"compound",NA,NA,"Entada_phaseoloides",10.2,15.45,15.45
"235","Fabales","Fabaceae","Entada","polystachya",22.43,271.96,51,NA,NA,4,8,NA,NA,3,8,"compound",NA,NA,"Entada_polystachya",8,NA,NA
"236","Fabales","Fabaceae","Erythrina","flabelliformis",3.79,104.17,19.78,11.5,19.6,5,8.7,6.5,10.9,5.8,9.8,"compound",NA,NA,"Erythrina_flabelliformis",9.8,15.55,15.55
"237","Fabales","Fabaceae","Erythrina","lanata",4.96,119.02,26.13,13.5,23.5,6.3,9.6,7.2,13.9,8.4,15,"compound",NA,NA,"Erythrina_lanata",15,18.5,18.5
"238","Fabales","Fabaceae","Gompholobium","latifolium",2.59,47.67,32.27,0.85,1.76,0.15,0.26,0.7,1.5,0.2,0.5,"compound",NA,NA,"Gompholobium_latifolium",0.5,1.305,1.305
"239","Fabales","Fabaceae","Libidibia","ferrea",7.57,65.64,17.94,10.6,15.1,1.4,4.1,9.2,11,7.6,8.8,"compound",NA,NA,"Libidibia_ferrea",8.8,12.85,12.85
"240","Fabales","Fabaceae","Lupinus","excubitus",0.09,23,10.62,NA,NA,4,15,NA,NA,NA,NA,"compound",NA,NA,"Lupinus_excubitus",NA,NA,NA
"241","Fabales","Fabaceae","Lysiloma","candida",6.96,65.37,13.62,3,7,NA,NA,NA,NA,NA,NA,"compound",NA,NA,"Lysiloma_candida",NA,5,NA
"242","Fabales","Fabaceae","Machaerium","cobanense",22,232.67,28.42,7.8,18.6,0.9,3.2,6.9,15.4,5.1,8,"compound",NA,NA,"Machaerium_cobanense",8,13.2,13.2
"243","Fabales","Fabaceae","Machaerium","floribundum",21.35,96.14,24.58,20.2,41.3,4.2,10.7,16.1,30.6,11,31.6,"compound",NA,NA,"Machaerium_floribundum",31.6,30.75,30.8
"244","Fabales","Fabaceae","Mimosa","ophthalmocentra",5.7,55.92,16.33,1.94,3.3,0.24,0.5,1.7,2.8,1.7,2.6,"compound",NA,NA,"Mimosa_ophthalmocentra",2.6,2.62,2.62
"246","Fabales","Fabaceae","Mimosa","tenuiflora",4.6,55.62,14.43,4,8.5,1,2.2,3,6.3,4.6,7.4,"compound",NA,NA,"Mimosa_tenuiflora",7.4,6.25,6.25
"247","Fabales","Fabaceae","Ottleya","rigida",0.54,21.08,13.11,1.3,2.4,0.1,0.3,1.2,2.1,1,2.6,"compound",NA,NA,"Ottleya_rigida",2.6,1.85,1.85
"248","Fabales","Fabaceae","Piptadenia","stipulacea",6.5,67.94,14.9,5.1,15.9,1.7,4.4,3.4,11.5,2.8,4,"compound",NA,NA,"Piptadenia_stipulacea",4,10.5,10.5
"249","Fabales","Fabaceae","Psorothamnus","arborescens",1.19,32.08,8,1.6,2.9,0.6,1.2,1,1.7,0.8,1.8,"compound",NA,NA,"Psorothamnus_arborescens",1.8,2.25,2.25
"250","Fabales","Fabaceae","Stryphnodendron","adstringens",4.13,122.84,21.93,24.8,34.8,4.5,5.8,20.3,29,15.1,18.2,"compound",NA,NA,"Stryphnodendron_adstringens",18.2,29.8,29.8
"251","Fabales","Fabaceae","Stylosanthes","viscosa",0.93,22.15,11.15,0.7,1.5,0.2,0.5,0.5,1,0.8,1.2,"compound",NA,NA,"Stylosanthes_viscosa",1.2,1.1,1.1
"252","Fabales","Fabaceae","Syrmatium","glabrum",1.57,27.37,13.65,1.2,3,0.2,0.6,1,2.4,1.4,3.2,"compound",NA,NA,"Syrmatium_glabrum",3.2,2.1,2.1
"253","Fabales","Fabaceae","Ulex","gallii",1.6,36.16,9.81,0.5,3,NA,NA,NA,NA,NA,NA,"compound",NA,NA,"Ulex_gallii",NA,1.75,NA
"254","Fabales","Fabaceae","Vatairea","lundellii",32.5,170,37.02,14,46,NA,NA,NA,NA,5,9,"compound",NA,NA,"Vatairea_lundellii",9,30,NA
"255","Fabales","Polygalaceae","Comesperma","ericinum",1.17,20.05,12.36,NA,NA,0.4,0.6,0.5,2.5,0.1,0.4,"simple",NA,NA,"Comesperma_ericinum",0.4,NA,2
"256","Fagales","Betulaceae","Alnus","glutinosa",12.04,53.27,9.13,NA,NA,11,32,4,12,4,10,"simple",NA,NA,"Alnus_glutinosa",10,NA,29.5
"257","Fagales","Betulaceae","Betula","lenta",18.07,90.43,11.86,NA,NA,0.635,2.54,5,15.24,3.31,8.89,"simple",NA,NA,"Betula_lenta",8.89,NA,11.7075
"258","Fagales","Betulaceae","Betula","pubescens",7.07,55.53,11.97,NA,NA,0.84,1.9,3.81,6.35,2.54,5.08,"simple",NA,NA,"Betula_pubescens",5.08,NA,6.45
"259","Fagales","Betulaceae","Carpinus","caroliniana",7.5,48.12,12.52,3,13,0.635,1.27,5.04,10.16,1.5,5,"simple",NA,NA,"Carpinus_caroliniana",5,8,8.5525
"260","Fagales","Betulaceae","Corylus","avellana",3.2,35.57,10.01,NA,NA,0.635,1.27,5.08,10.16,3.81,7.52,"simple",NA,NA,"Corylus_avellana",7.52,NA,8.5725
"261","Fagales","Betulaceae","Ostrya","virginiana",7.21,47.36,10.32,4.5,14,NA,0.6,8,10,2,6,"simple",NA,NA,"Ostrya_virginiana",6,9.25,NA
"263","Fagales","Casuarinaceae","Casuarina","equisetifolia",14.7,92.08,9.62,0.5,0.8,NA,NA,NA,NA,0.3,0.4,"simple",NA,NA,"Casuarina_equisetifolia",0.4,0.65,NA
"265","Fagales","Fagaceae","Castanea","sativa",6.75,84.62,15.95,14,22.5,1.27,2.54,12.7,22.86,5,9,"simple",NA,NA,"Castanea_sativa",9,18.25,19.685
"266","Fagales","Fagaceae","Fagus","sylvatica",11.57,49,9.26,NA,NA,0.3,1,4,10,2.5,4,"simple",NA,NA,"Fagus_sylvatica",4,NA,7.65
"267","Fagales","Fagaceae","Quercus","alba",23.58,104.79,20.34,NA,NA,0.6,2.5,12.5,21,9.5,13,"simple",NA,NA,"Quercus_alba",13,NA,18.3
"268","Fagales","Fagaceae","Quercus","berberidifolia",3.81,88,17.98,NA,NA,0.2,0.4,1.5,3,1,2,"simple",NA,NA,"Quercus_berberidifolia",2,NA,2.55
"269","Fagales","Fagaceae","Quercus","chrysolepis",2.79,58.88,9.43,NA,NA,0.3,1.4,2,7,1,3.5,"simple",NA,NA,"Quercus_chrysolepis",3.5,NA,5.35
"270","Fagales","Fagaceae","Quercus","cornelius-mulleri",2.43,56.89,12.02,NA,NA,0.2,0.5,1.5,3.5,1,2,"simple",NA,NA,"Quercus_cornelius-mulleri",2,NA,2.85
"271","Fagales","Fagaceae","Quercus","peninsularis",1.51,37.23,13.68,NA,NA,0.55,0.7,5.04,5.4,1.4,1.8,"simple",NA,NA,"Quercus_peninsularis",1.8,NA,5.845
"272","Fagales","Fagaceae","Quercus","pyrenaica",6.23,102.36,13.15,NA,NA,0.63,1.9,7.62,22.86,3.81,11.43,"simple",NA,NA,"Quercus_pyrenaica",11.43,NA,16.505
"273","Fagales","Fagaceae","Quercus","robur",16.67,106.54,17,NA,NA,0.3,0.6,7,15,3.5,8.5,"simple",NA,NA,"Quercus_robur",8.5,NA,11.45
"274","Fagales","Fagaceae","Quercus","rubra",26.19,136.15,15.69,NA,NA,1.8,5.8,11.5,20,9,16,"simple",NA,NA,"Quercus_rubra",16,NA,19.55
"275","Fagales","Juglandaceae","Carya","ovata",28.46,117.13,9.58,NA,NA,5.5,8.43,16,31.28,15.71,26.28,"compound",NA,NA,"Carya_ovata",26.28,NA,30.605
"276","Fagales","Myricaceae","Comptonia","peregrina",0.7,22.91,10.86,NA,NA,0.32,0.63,3,15.5,0.3,2.9,"simple",NA,NA,"Comptonia_peregrina",2.9,NA,9.725
"278","Fagales","Nothofagaceae","Nothofagus","antarctica",7.73,39.62,8.86,NA,NA,0.21,0.42,1.27,2.54,NA,NA,"simple",NA,NA,"Nothofagus_antarctica",NA,NA,2.22
"279","Fagales","Nothofagaceae","Nothofagus","cunninghamii",3.63,43.5,8.45,NA,NA,0.145,0.275,1.19,1.87,0.84,1.19,"simple",NA,NA,"Nothofagus_cunninghamii",1.19,NA,1.74
"280","Fagales","Nothofagaceae","Nothofagus","dombeyi",4.63,33.69,8.62,NA,NA,NA,0.21,1.9,3.81,0.95,1.59,"simple",NA,NA,"Nothofagus_dombeyi",1.59,NA,NA
"281","Fagales","Nothofagaceae","Nothofagus","gunnii",6.29,35.7,8.02,NA,NA,0,0.3,1,2,0.9,1.7,"simple",NA,NA,"Nothofagus_gunnii",1.7,NA,1.65
"282","Fagales","Nothofagaceae","Nothofagus","pumilio",3.03,35.24,6.9,NA,NA,0.32,0.63,1.9,3.17,1.27,2.22,"simple",NA,NA,"Nothofagus_pumilio",2.22,NA,3.01
"283","Garryales","Garryaceae","Aucuba","japonica",0.57,22.64,11.96,NA,NA,1.27,5.08,8,20,5,12,"simple",NA,NA,"Aucuba_japonica",12,NA,17.175
"284","Garryales","Garryaceae","Garrya","grisea",1.28,20.27,8.65,NA,NA,0.32,0.54,2.98,3.43,1.43,2.03,"simple",NA,NA,"Garrya_grisea",2.03,NA,3.635
"285","Garryales","Garryaceae","Garrya","laurifolia",8.8,55.86,19.36,NA,NA,1,2.5,5,16,2,6,"simple",NA,NA,"Garrya_laurifolia",6,NA,12.25
"286","Gentianales","Apocynaceae","Allamanda","blanchetii",3.16,51.41,16.42,NA,NA,NA,NA,43.77,70.7,15.6,26.98,"simple",NA,NA,"Allamanda_blanchetii",26.98,NA,NA
"287","Gentianales","Apocynaceae","Alyxia","leucogyne",3.73,53.16,13.11,NA,NA,2,2.5,7,9,2.75,4,"simple",NA,NA,"Alyxia_leucogyne",4,NA,10.25
"288","Gentianales","Apocynaceae","Araujia","sericifera",8.68,78.6,39.12,NA,NA,1.4,2.5,6,8.5,2.3,4.1,"simple",NA,NA,"Araujia_sericifera",4.1,NA,9.2
"289","Gentianales","Apocynaceae","Asclepias","subulata",0.76,19.97,10.49,2,8,NA,NA,NA,NA,0.1,0.2,"simple",NA,NA,"Asclepias_subulata",0.2,5,NA
"290","Gentianales","Apocynaceae","Aspidosperma","pyrifolium",6.53,40.05,11.75,NA,NA,11.4,1.87,5.02,6.67,2.75,3.47,"simple",NA,NA,"Aspidosperma_pyrifolium",3.47,NA,12.48
"291","Gentianales","Apocynaceae","Cascabela","ovata",8.45,49,12.78,NA,NA,0.5,1.5,5.5,18.5,2.5,12,"simple",NA,NA,"Cascabela_ovata",12,NA,13
"292","Gentianales","Apocynaceae","Cerberiopsis","candelabra",7.98,69.25,18.35,NA,NA,3.5,4.8,35,40,7,8,"simple",NA,NA,"Cerberiopsis_candelabra",8,NA,41.65
"293","Gentianales","Apocynaceae","Forsteronia","acouci",20.2,135.68,26.96,3.5,12,0.3,0.7,8,14.4,1.5,7.2,"simple",NA,NA,"Forsteronia_acouci",7.2,7.75,11.7
"294","Gentianales","Apocynaceae","Plumeria","rubra",3.25,61.82,18.5,NA,NA,1,3,9.4,34,2.6,11,"simple",NA,NA,"Plumeria_rubra",11,NA,23.7
"295","Gentianales","Apocynaceae","Tonduzia","longifolia",4.44,25.77,17.82,NA,NA,0.5,1.5,3.5,20,1,3.8,"simple",NA,NA,"Tonduzia_longifolia",3.8,NA,12.75
"296","Gentianales","Apocynaceae","Vallesia","glabra",3.46,44.43,10.91,NA,NA,0.5,1,3,9,0.8,2.5,"simple",NA,NA,"Vallesia_glabra",2.5,NA,6.75
"297","Gentianales","Rubiaceae","Coprosma","nitida",1.91,28.77,6.44,NA,NA,0.05,0.08,0.58,0.85,0.13,0.29,"simple",NA,NA,"Coprosma_nitida",0.29,NA,0.78
"298","Gentianales","Rubiaceae","Morinda","jasminoides",5.97,99.27,30.9,NA,NA,0.39,0.52,3.66,5.37,1.51,1.97,"simple",NA,NA,"Morinda_jasminoides",1.97,NA,4.97
"300","Gentianales","Rubiaceae","Pomax","umbellata",0.21,19.6,5.58,NA,NA,0.1,0.9,0.4,3,0.2,1.3,"simple",NA,NA,"Pomax_umbellata",1.3,NA,2.2
"301","Gentianales","Rubiaceae","Psychotria","rupicola",0.72,27.98,9.44,NA,NA,0.4,0.93,5,7.77,1.4,2.87,"simple",NA,NA,"Psychotria_rupicola",2.87,NA,7.05
"302","Gentianales","Rubiaceae","Randia","capitata",2.64,28.39,13.54,NA,NA,0.3,1.2,2,7,1,4,"simple",NA,NA,"Randia_capitata",4,NA,5.25
"303","Gentianales","Rubiaceae","Thiollierea","macrophylla",1.64,30.96,13.31,NA,NA,3.22,4.75,14.21,17.3,4.07,6.14,"simple",NA,NA,"Thiollierea_macrophylla",6.14,NA,19.74
"304","Geraniales","Geraniaceae","Pelargonium","hortorum",0.99,39.3,19.43,NA,NA,4,18,3.5,11,4.5,12,"simple",NA,NA,"Pelargonium_hortorum",12,NA,18.25
"305","Geraniales","Melianthaceae","Melianthus","major",1.67,32.87,23.39,NA,NA,NA,8.6,29.36,45,14.08,17.23,"compound",NA,NA,"Melianthus_major",17.23,NA,NA
"306","Huerteales","Dipentodontaceae","Perrottetia","longistylis",17,53.35,22.78,NA,NA,0.7,0.9,7,20,3,8,"simple",NA,NA,"Perrottetia_longistylis",8,NA,14.3
"307","Huerteales","Dipentodontaceae","Perrottetia","ovata",7,43.26,22.3,NA,NA,0.57,0.78,9.56,11.04,4.61,5.82,"simple",NA,NA,"Perrottetia_ovata",5.82,NA,10.975
"308","Huerteales","Huerteaceae","Huertea","cubensis",10.9,74.01,7.06,NA,NA,6.68,9.28,23.43,30.95,12.07,24.46,"compound",NA,NA,"Huertea_cubensis",24.46,NA,35.17
"309","Huerteales","Petenaeaceae","Petenaea","cordata",9.3,92.28,14.23,NA,NA,0.5,1.1,8.5,15.5,6.5,14.5,"simple",NA,NA,"Petenaea_cordata",14.5,NA,12.8
