"","order","family","genus","species","stem.length.m","VD.base.um","VD.tip.um","min.length.leaf","max.length.leaf","min.length.petiole","max.length.petiole","min.length.blade","max.length.blade","leaf.type","long.hoja","long.hoja.mean","long.lam.pet.mean","long.hoja.concenso"
"78","Canellales","Canellaceae","Canella","Canella_winterana",20,238.6,63.28,4.869,9.861,0.725,1.397,4.241,8.464,"simple",NA,7.365,7.4135,7.4135
"79","Caryophyllales","Achatocarpaceae","Achatocarpus","Achatocarpus_gracilis",4.32,35.23,9.87,1.617,7.483,0,0.921,0,3.912,"simple",NA,4.55,2.4165,2.4165
"80","Caryophyllales","Aizoaceae","Sesuvium","Sesuvium_portulacastrum",0.75,23.42,9.96,1.166,3.376,0.325,0.58,1.166,3.376,"simple",NA,2.271,2.7235,2.7235
"81","Caryophyllales","Amaranthaceae","Celosia","Celosia_monosperma",3.74,29.44,22.8,6.649,10.814,0.944,2.648,5.525,8.801,"simple",NA,8.7315,8.959,8.959
"82","Caryophyllales","Amaranthaceae","Froelichia","Froelichia_humboldtiana",2.64,19.61,8.58,1.985,3.303,NA,NA,1.984,3.303,"simple",NA,2.644,NA,2.644
"83","Caryophyllales","Amaranthaceae","Iresine","Iresine_arbuscula",14.23,57.11,22.61,27.737,13.886,1.737,3.543,12.24,24.443,"simple",NA,20.8115,20.9815,20.9815
"84","Caryophyllales","Basellaceae","Anredera","Anredera_cordifolia",8.05,114.64,18.79,2.6,10.12,0.6,0.12,2,10,"simple",NA,6.36,6.36,6.36
"85","Caryophyllales","Nyctaginaceae","Guapira","Guapira_noxia",1.4,64.52,23.83,8.394,14.003,0.911,1.239,4.939,12.813,"simple",NA,11.1985,9.951,9.951
"86","Caryophyllales","Nyctaginaceae","Guapira","Guapira_petenensis",6.54,44.81,16.11,9.791,6.946,1.34,2.038,5.802,8.55,"simple",NA,8.3685,8.865,8.865
"87","Caryophyllales","Phytolaccaceae","Trichostigma","Trichostigma_octandrum",27.6,129.95,29.08,5.483,8.917,1.486,2.765,1.321,8.072,"simple",NA,7.2,6.822,6.822
"88","Caryophyllales","Polygonaceae","Antigonon","Antigonon_leptopus",2.86,50.91,19.08,6,16.5,1,2.5,5,14,"simple",NA,11.25,11.25,11.25
"89","Caryophyllales","Polygonaceae","Eriogonum","Eriogonum_affovalifolium",0.11,13.13,11.45,0.3,16,0.1,10,0.2,6,"simple",NA,8.15,8.15,8.15
"90","Caryophyllales","Polygonaceae","Eriogonum","Eriogonum_elongatum",1.18,20.25,13.15,1.5,5,0.5,2,1,3,"simple",NA,3.25,3.25,3.25
"91","Caryophyllales","Polygonaceae","Eriogonum","Eriogonum_fasciculatum",1.91,35.73,12.28,0.7,1.8,0.1,0.3,0.6,1.5,"simple",NA,1.25,1.25,1.25
"92","Caryophyllales","Polygonaceae","Podopterus","Podopterus_cordifolius",10.89,87.95,27.92,NA,2.9,NA,0.4,NA,2.5,"simple",2.9,NA,NA,2.9
"93","Caryophyllales","Polygonaceae","Rumex","Rumex_sagittatus",7.67,79.27,28,3.15,3.73,0.91,1.26,2.01,2.58,"simple",NA,3.44,3.38,3.38
"94","Caryophyllales","Simmondsiaceae","Simmondsia","Simmondsia_chinensis",2.1,26.15,11.56,2,5.7,0,0.2,2,5.5,"simple",NA,3.85,3.85,3.85
"95","Caryophyllales","Tamaricaceae","Tamarix","Tamarix_ramosissima",7.8,105.29,12.54,0.15,0.35,NA,NA,0.15,0.35,"simple",NA,0.25,NA,0.25
"96","Celastrales","Celastraceae","Crossopetalum","Crossopetalum_uragoga",1.92,24.61,14.87,1.01,5.26,0.16,0.26,0.85,5,"simple",NA,3.135,3.135,3.135
"97","Celastrales","Celastraceae","Euonymus","Euonymus_japonicus",2.27,18.85,9.09,2.2,6.3,0.2,0.9,2,5.5,"simple",NA,4.25,4.3,4.3
"98","Celastrales","Celastraceae","Maytenus","Maytenus_disticha",0.72,20.81,7.46,0.69,0.8,0.06,0.12,0.63,0.68,"simple",NA,0.745,0.745,0.745
"99","Celastrales","Celastraceae","Maytenus","Maytenus_phyllanthoides",2.03,32.03,13.05,1.6,5.6,0.1,0.6,1.5,5,"simple",NA,3.6,3.6,3.6
"100","Celastrales","Celastraceae","Peritassa","Peritassa_campestris",0.83,51.15,18.71,5.9,15,0.4,1,5,14,"simple",NA,10.45,10.2,10.2
"101","Celastrales","Celastraceae","Plenckia","Plenckia_populnea",6.68,39.39,14.67,4.7,11.1,2,3.7,2.7,7.4,"simple",NA,7.9,7.9,7.9
"102","Celastrales","Celastraceae","Semialarium","Semialarium_mexicanum",32.88,148.28,23.56,1.8,14.7,0.2,1.2,1.6,13.5,"simple",NA,8.25,8.25,8.25
"103","Celastrales","Celastraceae","Wimmeria","Wimmeria_bartlettii",17,59.58,10.54,5.5,11,0.6,1,6.1,12,"simple",NA,8.25,9.85,9.85
"104","Chloranthales","Chloranthaceae","Ascarina","Ascarina_lucida",4.57,53.38,11.96,2.8,9,0.8,1,2,8,"simple",NA,5.9,5.9,5.9
"105","Chloranthales","Chloranthaceae","Ascarina","Ascarina_rubricaulis",5.01,66.03,18.39,4,10,0.4,1.2,4.4,11.2,"simple",NA,7,8.6,8.6
"106","Chloranthales","Chloranthaceae","Ascarina","Ascarina_solmsiana",4.36,70.48,26.08,4,8,0.4,1.5,3.6,6.5,"simple",NA,6,6,6
"107","Chloranthales","Chloranthaceae","Hedyosmum","Hedyosmum_aff_cuatrecazanum",1.6,22.7,15.13,6.92,11.92,1.05,1.43,5.87,10.49,"simple",NA,9.42,9.42,9.42
"108","Chloranthales","Chloranthaceae","Hedyosmum","Hedyosmum_mexicanum",9.92,122.68,32.16,9,22,0.9,2.3,8.1,19.7,"simple",NA,15.5,15.5,15.5
"109","Commelinales","Commelinaceae","Tradescantia","Tradescantia_zanonia",1.07,39.75,30.21,10.5,17.4,0.6,0.67,9.9,16.73,"simple",NA,13.95,13.95,13.95
"110","Cornales","Hydrangeaceae","Hydrangea","Hydrangea_macrophylla",0.98,30.31,16.48,8,20,NA,4,4,16,"simple",NA,14,NA,14
"111","Crossosomatales","Crossosomataceae","Crossosoma","Crossosoma_bigelovii",0.73,20.3,12.82,0.33,1.46,NA,NA,0.33,1.46,"simple",NA,0.895,NA,0.895
"112","Crossosomatales","Staphyleaceae","Turpinia","Turpinia_occidentalis",9.67,99.37,29.91,12.35,21.97,2.02,4.12,10.33,17.85,"compound",NA,17.16,17.16,17.16
"113","Crossosomatales","Strasburgeriaceae","Strasburgeria","Strasburgeria_calliantha",7.91,81.89,20.89,20,22,0.25,2,18,20,"simple",NA,21,20.125,20.125
"114","Cucurbitales","Coriariaceae","Coriaria","Coriaria_ruscifolia",0.58,28.75,15.8,0.5,7.5,NA,NA,0.5,7.5,"simple",NA,4,NA,4
"115","Cucurbitales","Cucurbitaceae","Apodanthera","Apodanthera_congestiflora",1.25,48.21,36.46,4.23,7.02,1.5,2,2.73,5.02,"compound",NA,5.625,5.625,5.625
"116","Cucurbitales","Cucurbitaceae","Doyerea","Doyerea_emetocathartica",5.88,122.38,46.99,3.5,14,1.5,8,2,6,"simple",NA,8.75,8.75,8.75
"117","Cucurbitales","Cucurbitaceae","Ibervillea","Ibervillea_sonorae",6.43,143.79,63.66,4.51,8.81,0.79,2.78,3.72,6.03,"simple",NA,6.66,6.66,6.66
