order,family,genus,sp,locality,authority,collector,coll,Wood Density g/ml
Ericales,Ericaceae,Arctostaphylos,uva_ursi,,(L.) Spreng.,Camarero,Auv1,0.45
Ericales,Ericaceae,Arctostaphylos,uva_ursi,,(L.) Spreng.,Camarero,Auv2,0.45
Ericales,Ericaceae,Arctostaphylos,uva_ursi,,(L.) Spreng.,Camarero,Auv3,0.39
Rosales,Rhamnaceae,Ochetophila,nana,,"(Clos) Kellermann, Medan & Aagesen",Fajardo,P.Dn 1,0.57
Rosales,Rhamnaceae,Ochetophila,nana,,"(Clos) Kellermann, Medan & Aagesen",Fajardo,P.Dn 2,0.52
Rosales,Rhamnaceae,Ochetophila,nana,,"(Clos) Kellermann, Medan & Aagesen",Fajardo,P.Dn 3,0.53
Fabales,Fabaceae,Acacia,parvipinnula,,Tindale,Rosell,1,0.69
Fabales,Fabaceae,Acacia,parvipinnula,,Tindale,Rosell,2,0.71
Fabales,Fabaceae,Acacia,parvipinnula,,Tindale,Rosell,4,0.64
Fagales,Fagaceae,Quercus,cornelius_mulleri,,Nixon & K. P. Steele,Olson,2617,0.76
Fagales,Fagaceae,Quercus,cornelius_mulleri,,Nixon & K. P. Steele,Olson,2618,0.77
Fagales,Fagaceae,Quercus,cornelius_mulleri,,Nixon & K. P. Steele,Olson,2619,0.73
Myrtales,Myrtaceae,Metrosideros,operculata,,Labill.,Castorena,283,0.79
Myrtales,Myrtaceae,Metrosideros,operculata,,Labill.,Castorena,284,0.51
Myrtales,Myrtaceae,Metrosideros,operculata,,Labill.,Castorena,285,0.89
Malpighiales,Euphorbiaceae,Jatropha,mollissima,,(Pohl) Baill.,Olson,4760,0.39
Malpighiales,Euphorbiaceae,Jatropha,mollissima,,(Pohl) Baill.,Olson,4761,0.37
Malpighiales,Euphorbiaceae,Jatropha,mollissima,,(Pohl) Baill.,Olson,4762,0.39
Caryophyllales,Simmondsiaceae,Simmondsia,chinensis,,(Link)C. K. Schneid. ,Olson,4018,0.63
Caryophyllales,Simmondsiaceae,Simmondsia,chinensis,,(Link)C. K. Schneid. ,Olson,4019,0.65
Caryophyllales,Simmondsiaceae,Simmondsia,chinensis,,(Link)C. K. Schneid. ,Olson,4020,0.64
Lamiales,Acanthaceae,Ruellia,californica,,(Rose)I. M. Johnst.,Olson,2921,0.68
Lamiales,Acanthaceae,Ruellia,californica,,(Rose)I. M. Johnst.,Olson,2922,0.58
Lamiales,Acanthaceae,Ruellia,californica,,(Rose)I. M. Johnst.,Olson,2933,0.56
Proteales,Proteaceae,Telopea,truncata,,R. Br,Olson,2317,0.58
Proteales,Proteaceae,Telopea,truncata,,R. Br,Olson,2318,0.52
Proteales,Proteaceae,Telopea,truncata,,R. Br,Olson,2319,0.58
Ericales,Ericaceae,Richea,pandanifolia,,Hook. f. ,Olson,2305,0.47
Ericales,Ericaceae,Richea,pandanifolia,,Hook. f. ,Olson,2306,0.48
Ericales,Ericaceae,Richea,pandanifolia,,Hook. f. ,Olson,2307,0.5
Fabales,Fabaceae,Acacia,greggii,,A. Gray,Olson,2605,0.69
Fabales,Fabaceae,Acacia,greggii,,A. Gray,Olson,2606,0.68
Fabales,Fabaceae,Acacia,greggii,,A. Gray,Olson,2607,0.74
Malpighiales,Chrysobalanaceae,Couepia,grandiflora,,(Mart. & Zucc.) Benth. ex Hook.f.,Olson,4648,0.39
Malpighiales,Chrysobalanaceae,Couepia,grandiflora,,(Mart. & Zucc.) Benth. ex Hook.f.,Olson,4649,0.62
Malpighiales,Chrysobalanaceae,Couepia,grandiflora,,(Mart. & Zucc.) Benth. ex Hook.f.,Olson,4650,0.51
Proteales,Proteaceae,Grevillea,mucronulata,,R. Br,Rosell,2,0.63
Proteales,Proteaceae,Grevillea,mucronulata,,R. Br,Rosell,3,0.72
Proteales,Proteaceae,Grevillea,mucronulata,,R. Br,Rosell,5,0.62
Malpighiales,Euphorbiaceae,Manihot,dichotoma,,Ule,Olson,4718,0.36
